country,Mid_range_meal_pp,One_way_local_transport_ticket,Apartment
Afghanistan,3.41,0.22,79.9
Albania,12.48,0.43,186.79
Algeria,6.66,0.21,143.88
American Samoa,3.28,0.79,88.18
Andorra,20.17,1.9,811.73
Angola,32.12,0.59,220.39
Anguilla,85.0,0.79,800.0
Antigua And Barbuda,46.26,1.02,393.905
Argentina,13.76,0.35,205.32
Armenia,15.84,0.25,540.26
Aruba,34.16,2.5,770.54
Australia,31.15,2.75,1142.78
Austria,28.49,2.41,707.55
Azerbaijan,9.42,0.18,140.75
Bahrain,21.66,0.78,918.16
Bangladesh,3.59,0.41,75.12
Barbados,47.56,1.75,540.0
Belarus,16.26,0.37,213.48
Belgium,35.99,2.66,769.22
Belize,15.92,1.59,343.89
Benin,13.06,1.58,192.0
Bermuda,75.0,4.5,3250.0
Bhutan,9.18,1.87,131.43
Bolivia,6.35,0.3,304.27
Bosnia And Herzegovina,11.07,1.17,158.4
Botswana,16.34,0.48,204.07
Brazil,11.05,0.86,228.58
British Virgin Islands,27.5,5.0,1833.33
Brunei,14.48,1.27,690.81
Bulgaria,13.26,0.76,223.73
Burkina Faso,11.88,0.32,395.87
Burundi,10.52,0.24,272.41
Cambodia,11.9,1.3,399.33
Cameroon,10.18,1.24,106.38
Canada,31.11,2.29,1103.63
Chad,15.84,0.79,1103.64
Chile,17.96,0.61,373.26
China,10.36,0.3,317.95
Colombia,7.24,0.5,168.93
Cook Islands,24.86,0.79,161.54
Costa Rica,17.63,0.9,372.44
Croatia,17.22,1.49,329.75
Cuba,13.48,0.3,276.66
Cyprus,24.67,1.71,643.93
Denmark,42.95,3.7,961.43
Djibouti,33.34,0.42,805.72
Dominica,30.0,1.3,345.2
Dominican Republic,19.66,0.89,300.99
Ecuador,14.56,0.33,347.17
Egypt,6.54,0.16,111.56
El Salvador,10.72,0.25,633.33
Equatorial Guinea,21.78,1.58,277.11
Eritrea,10.0,0.22,650.0
Estonia,22.83,0.91,298.52
Ethiopia,10.27,0.19,387.3
Faroe Islands,53.25,0.0,595.43
Fiji,16.88,0.75,361.94
Finland,38.55,3.34,699.93
France,27.22,1.69,698.65
French Guiana,25.96,2.34,766.04
French Polynesia,26.12,0.96,899.44
Gabon,39.58,0.55,851.12
Georgia,14.65,0.2,314.47
Germany,26.19,2.9,696.04
Ghana,5.72,0.3,348.34
Gibraltar,39.04,1.68,1641.3
Greece,20.26,1.23,455.31
Greenland,35.69,2.79,977.68
Guadeloupe,15.58,2.08,830.96
Guatemala,14.94,0.61,408.97
Guinea,15.0,0.9,540.38
Guinea-Bissau,7.51,0.79,341.22
Guyana,24.96,0.57,329.0
Haiti,30.93,0.5,523.86
Honduras,13.8,0.71,293.45
Hong Kong,32.01,1.54,2284.16
Hungary,14.95,0.84,304.48
Iceland,42.41,2.81,1254.03
India,5.22,0.3,110.05
Indonesia,6.33,0.34,197.1
Iran,13.47,0.37,711.18
Iraq,8.97,0.46,280.6
Ireland,37.89,2.93,1212.99
Isle Of Man,36.03,2.1,998.98
Israel,39.78,1.65,1009.44
Italy,28.26,1.53,559.0
Jamaica,19.12,0.96,294.8
Japan,15.19,1.71,535.8
Jersey,51.05,2.64,1626.21
Jordan,13.24,0.67,215.73
Kazakhstan,10.82,0.18,208.46
Kenya,10.05,0.68,138.2
Kuwait,21.14,1.06,755.31
Kyrgyzstan,9.87,0.18,298.35
Laos,11.02,0.68,559.01
Latvia,17.09,0.8,261.97
Lebanon,21.25,1.47,478.12
Lesotho,11.66,0.47,292.75
Liberia,22.5,3.0,1312.5
Libya,8.82,0.87,143.99
Liechtenstein,47.99,4.6,1267.62
Lithuania,16.84,0.83,345.97
Luxembourg,32.45,0.0,1473.27
Madagascar,6.8,0.16,251.06
Malawi,14.78,0.48,253.8
Malaysia,8.03,0.6,286.4
Maldives,13.0,0.65,855.01
Mali,25.84,4.67,1000.0
Malta,33.7,1.79,845.58
Marshall Islands,22.0,2.0,1116.67
Martinique,31.16,1.51,571.28
Mauritania,13.5,0.56,280.67
Mauritius,17.18,0.79,229.1
Mexico,13.6,0.53,344.19
Moldova,16.08,0.22,165.75
Monaco,77.9,2.08,5411.9
Mongolia,8.76,0.07,183.6
Montenegro,13.48,1.16,362.26
Montserrat,23.12,1.11,379.27
Morocco,8.6,0.44,215.18
Mozambique,30.58,0.23,729.1
Myanmar,7.5,6.07,366.52
Namibia,17.88,0.7,406.82
Nauru,16.76,0.79,1676.56
Nepal,7.09,0.27,69.53
Netherlands,32.59,3.45,1093.86
New Caledonia,39.17,2.39,797.89
New Zealand,32.72,2.14,836.77
Nicaragua,11.92,0.28,176.77
Niger,15.19,0.32,533.06
Nigeria,6.88,0.3,625.84
North Korea,10.24,0.65,393.905
Norway,42.57,3.82,927.18
Oman,12.52,1.49,383.43
Pakistan,5.09,0.18,70.48
Panama,16.45,0.36,606.79
Papua New Guinea,22.25,0.57,5076.75
Paraguay,10.65,0.49,309.38
Peru,8.22,0.35,244.52
Philippines,8.5,0.28,239.16
Poland,13.97,0.79,425.9
Portugal,17.58,1.7,633.97
Puerto Rico,30.54,1.88,547.22
Qatar,24.03,0.55,1435.58
Reunion,25.96,0.79,694.63
Romania,13.83,0.55,260.99
Russia,19.26,0.52,393.1
Rwanda,15.25,0.32,428.83
Saint Kitts And Nevis,46.26,1.11,610.53
Saint Lucia,31.45,0.93,478.76
Saint Vincent And The Grenadines,32.38,0.74,342.27
Samoa,14.94,2.15,1073.79
San Marino,27.18,2.08,532.33
Sao Tome And Principe,20.78,0.79,207.74
Saudi Arabia,18.31,0.84,359.62
Senegal,19.6,0.36,448.44
Serbia,10.44,0.85,189.85
Seychelles,29.02,0.67,925.42
Sierra Leone,15.0,0.15,1438.66
Singapore,30.03,1.46,2660.73
Sint Maarten,50.0,1.25,1233.33
Slovakia,14.48,0.83,441.58
Slovenia,17.82,1.42,415.75
Solomon Islands,27.36,0.36,587.72
Somalia,9.33,1.46,203.34
South Africa,15.56,1.35,350.23
South Korea,14.79,1.01,372.7
South Sudan,15.0,1.5,2350.0
Spain,21.32,1.56,651.58
Sri Lanka,3.44,0.17,81.11
Sudan,10.0,0.45,293.96
Suriname,40.0,0.44,394.71
Swaziland,5.93,1.17,285.14
Sweden,32.07,2.82,717.9
Switzerland,54.42,3.86,1450.99
Syria,8.87,0.1,134.46
Taiwan,11.79,0.7,401.06
Tajikistan,5.52,0.3,388.58
Tanzania,13.2,0.32,248.32
Thailand,11.08,0.6,203.17
Timor-Leste,20.0,0.25,680.0
Togo,9.94,0.79,255.34
Tonga,24.88,0.79,393.905
Trinidad And Tobago,34.05,1.37,389.14
Tunisia,6.69,0.22,129.2
Turkey,6.69,0.35,168.26
Turkmenistan,65.53,0.17,537.75
Turks And Caicos Islands,16.3,0.79,750.0
Tuvalu,5.2,0.79,113.43
Uganda,8.16,0.57,147.63
Ukraine,7.54,0.26,217.53
United Arab Emirates,22.57,1.98,2218.8
United Kingdom,31.36,3.45,986.89
United States,30.85,2.16,1424.64
Uruguay,23.9,1.24,414.82
Uzbekistan,11.24,0.18,205.28
Vanuatu,26.58,1.23,1071.55
Vatican City,15.58,1.04,882.89
Venezuela,16.53,0.63,183.46
Vietnam,9.7,0.29,303.5
Yemen,15.34,0.6,162.36
Zambia,9.18,1.45,262.01
Zimbabwe,19.0,0.55,222.31
