country,temperature_celsius,condition_text,wind_kph,humidity,uv_index,condition_category,HRS_of_light
Afghanistan,26.6,partly cloudy,13.3,24,7.0,Partly Cloudy,0.58
Albania,19.0,partly cloudy,11.2,94,5.0,Partly Cloudy,0.61
Algeria,23.0,sunny,15.1,29,5.0,Clear,0.59
Andorra,6.3,light drizzle,11.9,61,2.0,Rain,0.61
Angola,26.0,partly cloudy,13.0,89,8.0,Partly Cloudy,0.49
Antigua And Barbuda,26.0,partly cloudy,9.0,84,1.0,Partly Cloudy,0.54
Argentina,8.0,clear,3.6,93,1.0,Clear,0.43
Armenia,19.0,partly cloudy,6.8,40,4.0,Partly Cloudy,0.6
Australia,9.0,clear,4.0,87,1.0,Clear,0.43
Austria,16.0,partly cloudy,20.2,63,5.0,Partly Cloudy,0.64
Azerbaijan,17.0,partly cloudy,6.8,68,5.0,Partly Cloudy,0.6
Bahamas,27.0,partly cloudy,25.9,89,1.0,Partly Cloudy,0.56
Bahrain,36.0,sunny,22.0,33,8.0,Clear,0.56
Bangladesh,38.4,partly cloudy,6.8,31,9.0,Partly Cloudy,0.55
Barbados,28.0,partly cloudy,25.9,74,1.0,Partly Cloudy,0.53
Belarus,17.0,sunny,19.1,29,4.0,Clear,0.67
Belgium,15.0,partly cloudy,6.1,94,3.0,Partly Cloudy,0.65
Belize,26.0,overcast,6.8,89,1.0,Cloudy,0.54
Benin,28.0,moderate or heavy rain with thunder,24.1,79,7.0,Thunderstorm,0.52
Bhutan,18.2,patchy light rain in area with thunder,11.5,50,4.0,Thunderstorm,0.56
Bolivia,12.3,clear,3.6,77,1.0,Clear,0.47
Bosnia And Herzegovina,19.0,partly cloudy,3.6,64,5.0,Partly Cloudy,0.62
Botswana,22.0,sunny,6.8,43,7.0,Clear,0.45
Brazil,23.1,fog,4.0,98,1.0,Fog,0.5
Brunei Darussalam,32.0,patchy light rain with thunder,11.2,84,8.0,Thunderstorm,0.51
Bulgaria,12.0,overcast,20.2,77,3.0,Cloudy,0.61
Burkina Faso,32.0,moderate or heavy rain with thunder,11.2,67,8.0,Thunderstorm,0.53
Burundi,21.1,patchy rain nearby,3.6,66,6.0,Rain,0.5
Madagascar,27.4,sunny,16.2,44,8.0,Clear,0.45
Cape Verde,22.0,partly cloudy,15.1,69,6.0,Partly Cloudy,0.54
Cambodia,38.0,partly cloudy,11.2,45,9.0,Partly Cloudy,0.53
Cameroon,25.0,partly cloudy,3.6,78,6.0,Partly Cloudy,0.51
Canada,12.0,partly cloudy,15.1,71,1.0,Partly Cloudy,0.62
Central African Republic,28.4,sunny,7.6,60,7.0,Clear,0.51
Chad,37.2,sunny,14.4,27,9.0,Clear,0.53
Chile,1.0,clear,6.8,93,1.0,Clear,0.43
China,29.0,sunny,15.1,22,8.0,Clear,0.6
Comoros,27.5,patchy rain nearby,23.4,73,7.0,Rain,0.48
Congo,29.6,sunny,4.3,66,8.0,Clear,0.5
Costa Rica,21.0,fog,3.6,100,1.0,Fog,0.53
Croatia,16.0,partly cloudy,15.1,82,3.0,Partly Cloudy,0.62
Cuba,26.0,clear,6.8,84,1.0,Clear,0.55
Cyprus,25.0,partly cloudy,9.0,39,7.0,Partly Cloudy,0.59
Czech Republic,18.0,sunny,31.0,49,4.0,Clear,0.65
Democratic Republic Of Congo,29.4,sunny,4.0,67,8.0,Clear,0.5
Denmark,16.0,sunny,31.0,55,4.0,Clear,0.68
Djibouti,31.8,sunny,13.0,68,8.0,Clear,0.53
Dominica,27.2,patchy rain nearby,12.6,78,1.0,Rain,0.54
Dominican Republic,23.0,partly cloudy,13.0,94,1.0,Partly Cloudy,0.54
Ecuador,11.9,patchy rain nearby,4.3,92,1.0,Rain,0.5
Egypt,27.0,sunny,15.1,32,7.0,Clear,0.57
