country,temperature_celsius,wind_kph,humidity,uv_index,condition_text,condition_category,condition_score,HRS_of_light
Afghanistan,18.754246575342467,10.34,28.046575342465754,4.694794520547945,sunny,Clear,5,0.6
Albania,21.625479452054794,9.776438356164384,50.8054794520548,4.181095890410958,sunny,Clear,5,0.46
Algeria,22.275068493150684,14.09068493150685,58.01917808219178,3.846849315068493,partly cloudy,Partly Cloudy,4,0.5
Andorra,10.402191780821918,9.05013698630137,61.75068493150685,2.7986301369863016,sunny,Clear,5,0.46
Angola,27.37123287671233,11.057808219178082,70.92328767123287,6.9421917808219185,partly cloudy,Partly Cloudy,4,0.49
Antigua And Barbuda,26.745479452054795,22.95095890410959,78.21917808219177,2.157260273972603,partly cloudy,Partly Cloudy,4,0.45
Argentina,15.151780821917807,10.493972602739726,82.22191780821917,1.733698630136986,sunny,Clear,5,0.41
Armenia,18.325205479452055,7.9104109589041105,38.172602739726024,4.7805479452054795,partly cloudy,Partly Cloudy,4,0.51
Australia,12.974246575342466,10.60027397260274,74.12328767123287,0.4175342465753425,clear,Clear,5,0.61
Austria,14.38958904109589,14.013972602739727,62.30958904109589,3.2986301369863016,partly cloudy,Partly Cloudy,4,0.55
Azerbaijan,18.693972602739727,23.57917808219178,59.68767123287671,4.374520547945205,sunny,Clear,5,0.63
Bahamas,24.867123287671234,20.704383561643837,79.4986301369863,2.1945205479452055,partly cloudy,Partly Cloudy,4,0.57
Bahrain,29.943561643835615,19.795890410958904,48.61369863013699,6.853424657534247,sunny,Clear,5,0.58
Bangladesh,31.104109589041094,14.246027397260274,46.602739726027394,3.043835616438356,sunny,Clear,5,0.57
Barbados,27.36054794520548,24.054246575342464,80.20547945205479,2.190958904109589,partly cloudy,Partly Cloudy,4,0.53
Belarus,11.80958904109589,17.331232876712328,66.08493150684932,2.90986301369863,partly cloudy,Partly Cloudy,4,0.31
Belgium,17.903013698630136,15.654520547945204,71.18356164383562,3.9175342465753427,partly cloudy,Partly Cloudy,4,0.69
Belize,22.846301369863014,4.8123287671232875,95.24657534246575,1.893150684931507,fog,Fog,2,0.5
Benin,29.649315068493152,13.403561643835618,73.14246575342466,5.381917808219178,partly cloudy,Partly Cloudy,4,0.51
Bhutan,11.925205479452055,7.293150684931507,68.84931506849315,2.4443835616438356,patchy rain nearby,Rain,1,0.5
Bolivia,18.362739726027396,5.453972602739726,59.95068493150685,4.249315068493151,sunny,Clear,5,0.48
Bosnia And Herzegovina,15.444657534246575,7.67945205479452,62.83561643835616,3.5016438356164383,partly cloudy,Partly Cloudy,4,0.46
Botswana,26.455890410958904,13.033972602739725,37.49315068493151,8.88958904109589,sunny,Clear,5,0.44
Brazil,25.24109589041096,4.769589041095891,78.6027397260274,2.909041095890411,sunny,Clear,5,0.5
Brunei Darussalam,28.38082191780822,8.033698630136987,82.3945205479452,1.1646575342465755,partly cloudy,Partly Cloudy,4,0.52
Bulgaria,26.71917808219178,12.721643835616437,38.33698630136986,6.242465753424658,sunny,Clear,5,0.64
Burkina Faso,30.73095890410959,16.737260273972602,42.794520547945204,5.507945205479452,sunny,Clear,5,0.52
