country,Mid_range_meal_pp,One_way_local_transport_ticket,Apartment,temperature_celsius,wind_kph,humidity,uv_index,condition_text,condition_category,HRS_of_light,Disaster_Count,Median_Severity,Unique_Days_Under_Threat
Afghanistan,3.41,0.22,79.9,18.754246575342467,10.34,28.046575342465754,4.694794520547945,sunny,Clear,0.6,6.0,0.5,22.0
Albania,12.48,0.43,186.79,21.625479452054797,9.776438356164384,50.8054794520548,4.181095890410958,sunny,Clear,0.46,1.0,0.0,7.0
Algeria,6.66,0.21,143.88,22.275068493150684,14.09068493150685,58.01917808219178,3.846849315068493,partly cloudy,Partly Cloudy,0.5,5.0,0.25,8.0
Andorra,20.17,1.9,811.73,10.402191780821918,9.05013698630137,61.75068493150685,2.7986301369863016,sunny,Clear,0.46,0.0,0.0,0.0
Angola,32.12,0.59,220.39,27.37123287671233,11.057808219178082,70.92328767123287,6.942191780821919,partly cloudy,Partly Cloudy,0.49,2.0,1.0,11.0
Antigua And Barbuda,46.26,1.02,393.905,26.745479452054795,22.95095890410959,78.21917808219177,2.157260273972603,partly cloudy,Partly Cloudy,0.45,0.0,0.0,0.0
Argentina,13.76,0.35,205.32,15.151780821917807,10.493972602739726,82.22191780821917,1.733698630136986,sunny,Clear,0.41,4.0,0.5,62.0
Armenia,15.84,0.25,540.26,18.325205479452052,7.9104109589041105,38.17260273972602,4.78054794520548,partly cloudy,Partly Cloudy,0.51,2.0,0.5,6.0
Australia,31.15,2.75,1142.78,12.974246575342466,10.60027397260274,74.12328767123287,0.4175342465753425,clear,Clear,0.61,8.0,0.25,27.0
Austria,28.49,2.41,707.55,14.38958904109589,14.013972602739727,62.30958904109589,3.2986301369863016,partly cloudy,Partly Cloudy,0.55,2.0,0.0,9.0
Azerbaijan,9.42,0.18,140.75,18.693972602739727,23.57917808219178,59.68767123287671,4.374520547945205,sunny,Clear,0.63,0.0,0.0,0.0
Bahrain,21.66,0.78,918.16,29.94356164383561,19.795890410958904,48.61369863013699,6.853424657534247,sunny,Clear,0.58,0.0,0.0,0.0
Bangladesh,3.59,0.41,75.12,31.10410958904109,14.246027397260274,46.602739726027394,3.043835616438356,sunny,Clear,0.57,8.0,0.625,61.0
Barbados,47.56,1.75,540.0,27.36054794520548,24.054246575342464,80.20547945205479,2.190958904109589,partly cloudy,Partly Cloudy,0.53,1.0,0.25,2.0
Belarus,16.26,0.37,213.48,11.80958904109589,17.331232876712328,66.08493150684932,2.90986301369863,partly cloudy,Partly Cloudy,0.31,1.0,0.25,4.0
Belgium,35.99,2.66,769.22,17.903013698630136,15.654520547945204,71.18356164383562,3.917534246575343,partly cloudy,Partly Cloudy,0.69,3.0,0.0,14.0
Belize,15.92,1.59,343.89,22.846301369863014,4.812328767123288,95.24657534246576,1.893150684931507,fog,Fog,0.5,0.0,0.0,0.0
Benin,13.06,1.58,192.0,29.649315068493152,13.403561643835618,73.14246575342466,5.381917808219178,partly cloudy,Partly Cloudy,0.51,2.0,0.125,2.0
Bhutan,9.18,1.87,131.43,11.925205479452057,7.293150684931507,68.84931506849315,2.444383561643836,patchy rain nearby,Rain,0.5,0.0,0.0,0.0
Bolivia,6.35,0.3,304.27,18.3627397260274,5.453972602739726,59.95068493150685,4.249315068493151,sunny,Clear,0.48,0.0,0.0,0.0
Bosnia And Herzegovina,11.07,1.17,158.4,15.444657534246575,7.67945205479452,62.83561643835616,3.5016438356164383,partly cloudy,Partly Cloudy,0.46,0.0,0.0,0.0
Botswana,16.34,0.48,204.07,26.455890410958904,13.033972602739723,37.49315068493151,8.88958904109589,sunny,Clear,0.44,1.0,1.0,306.0
Brazil,11.05,0.86,228.58,25.24109589041096,4.769589041095891,78.6027397260274,2.909041095890411,sunny,Clear,0.5,18.0,0.5,311.0
Bulgaria,13.26,0.76,223.73,26.71917808219178,12.721643835616437,38.33698630136986,6.242465753424658,sunny,Clear,0.64,4.0,0.125,14.0
Burkina Faso,11.88,0.32,395.87,30.73095890410959,16.737260273972602,42.7945205479452,5.507945205479452,sunny,Clear,0.52,2.0,0.25,46.0
Burundi,10.52,0.24,272.41,27.067123287671237,18.08876712328767,58.12876712328767,9.196438356164384,partly cloudy,Partly Cloudy,0.49,2.0,0.375,76.0
Cambodia,11.9,1.3,399.33,31.10958904109589,11.593424657534248,66.6986301369863,1.5273972602739727,partly cloudy,Partly Cloudy,0.51,1.0,1.0,3.0
Cameroon,10.18,1.24,106.38,26.30328767123288,9.115342465753423,50.04383561643836,6.594246575342466,sunny,Clear,0.51,5.0,0.25,7.0
Canada,31.11,2.29,1103.63,5.58986301369863,11.624109589041096,83.55342465753425,1.6,partly cloudy,Partly Cloudy,0.65,5.0,0.25,19.0
Chad,15.84,0.79,1103.64,32.31150684931507,17.75890410958904,33.24931506849315,7.360821917808218,sunny,Clear,0.52,1.0,0.25,1.0
Chile,17.96,0.61,373.26,10.85013698630137,4.587397260273973,73.4931506849315,1.4005479452054794,sunny,Clear,0.41,5.0,1.0,51.0
China,10.36,0.3,317.95,16.670684931506848,10.186849315068493,43.55890410958904,0.8619178082191782,clear,Clear,0.63,29.0,0.25,365.0
Colombia,7.24,0.5,168.93,18.3,5.6,87.5,4.0,mist,Fog,0.53,5.0,0.25,37.0
Costa Rica,17.63,0.9,372.44,19.124109589041097,7.441643835616438,84.44109589041096,1.526027397260274,partly cloudy,Partly Cloudy,0.51,1.0,1.0,46.0
Croatia,17.22,1.49,329.75,16.16958904109589,8.175342465753424,63.18356164383562,3.573150684931507,sunny,Clear,0.66,3.0,0.25,13.0
Cuba,13.48,0.3,276.66,23.28219178082192,15.21835616438356,89.77260273972603,2.317808219178082,partly cloudy,Partly Cloudy,0.57,3.0,0.0,6.0
Cyprus,24.67,1.71,643.93,25.484383561643835,14.624383561643835,44.70958904109589,5.531780821917808,partly cloudy,Partly Cloudy,0.55,1.0,0.0,7.0
Denmark,42.95,3.7,961.43,11.824657534246576,19.30986301369863,73.6109589041096,2.3863013698630136,partly cloudy,Partly Cloudy,0.47,1.0,0.0,7.0
Djibouti,33.34,0.42,805.72,31.86575342465753,17.747671232876712,55.47671232876712,8.990136986301371,sunny,Clear,0.51,0.0,0.0,0.0
